id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1243665735521415168,Fri Mar 27 22:26:32 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @moreki_mo: I swear we are fighting two pandemics 
Covid 19 and Stupidity",I swear fighting two pandemics Covid Stupidity,"Sentiment(polarity=-0.6, subjectivity=1.0)",-0.6,1.0,en,0,0,SupremeBrina,,,moreki_mo,,
1243665734636535809,Fri Mar 27 22:26:31 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @WHO: Media briefing on #COVID19 with @DrTedros. #coronavirus https://t.co/VDzh2GSuPM,Media briefing,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,387,BlindRamblings,False,"COVID19, coronavirus","WHO, DrTedros",,
1243665730471702529,Fri Mar 27 22:26:30 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","There isn’t a need to be delicate about the translated message. Our mob in the bush are the most vulnerable, so it… https://t.co/85RPVyR7wj",There ’ need delicate translated message Our mob bush vulnerable it…,"Sentiment(polarity=-0.4, subjectivity=0.7)",-0.4,0.7,en,0,1141,joel_perrurle,False,,,Tyuretye - Alice Springs. ,
1243665726289801216,Fri Mar 27 22:26:29 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @gringatears: This is 100% true! I work for a bank and worked for different call centers, you HAVE to state that you’ve been affected by…",This true I work bank worked different call centers HAVE state ’ affected by…,"Sentiment(polarity=0.175, subjectivity=0.625)",0.175,0.625,en,0,0,withteethbared,,,gringatears,,
1243665722083102720,Fri Mar 27 22:26:28 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @noelhimself: BREAKING NEWS: Burundi is the only African country without any case of coronavirus. When the Minister Of Health was asked…,BREAKING NEWS Burundi African country without case coronavirus When Minister Of Health asked…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,RHanasong,,,noelhimself,,
1243665717679046657,Fri Mar 27 22:26:27 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I can't believe y'all President is saying these Governors need to be more appreciative. Seriously?!?!?!?

#COVID19… https://t.co/4OMITeEgkv",I ca n't believe y'all President saying Governors need appreciative Seriously …,"Sentiment(polarity=0.13333333333333333, subjectivity=0.7833333333333333)",0.13333333333333333,0.7833333333333333,en,0,20,TGirlIF,False,COVID19,,,
1243665713597947904,Fri Mar 27 22:26:26 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @gladinfinitum: @Complex What’s he worried about, it’s covid-19. Too old for him",What ’ worried ’ covid-19 Too old,"Sentiment(polarity=0.1, subjectivity=0.2)",0.1,0.2,en,0,1504,itszeynabbb,,,"gladinfinitum, Complex",🇵🇰🇦🇪🇨🇿,
1243665709491802112,Fri Mar 27 22:26:25 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @newvisionwire: JUST IN: 5 New #coronavirus cases confirmed 

MOH has confirmed 5 new cases of #COVID19UG  bringing the total to 23 case…",JUST IN New cases confirmed MOH confirmed new cases bringing total case…,"Sentiment(polarity=0.21454545454545454, subjectivity=0.7318181818181818)",0.21454545454545454,0.7318181818181818,en,0,103778,mukamezra,,"coronavirus, COVID19UG",newvisionwire,kigali Rwanda,
1243665705138098183,Fri Mar 27 22:26:24 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @w_terrence: NO DEMOCRATS WERE INVITED 😂

People are very upset that President @realDonaldTrump didn’t invite any democrats at the #coro…",NO DEMOCRATS WERE INVITED People upset President ’ invite democrats …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,14,frank_negron,,,"w_terrence, realDonaldTrump","Kissimmee, FL",
1243665700972945408,Fri Mar 27 22:26:23 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @WeberCounty: 📞👇🏻 Your Weber County Commissioners and team been calling EVERY single business (all 130+ of them!) who responded to our s…,Your Weber County Commissioners team calling EVERY single business responded s…,"Sentiment(polarity=-0.07142857142857142, subjectivity=0.21428571428571427)",-0.07142857142857142,0.21428571428571427,en,0,0,MissileWells,,,WeberCounty,,
1243665696892092422,Fri Mar 27 22:26:22 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ChristinePolon1: COVID-19 Part 2 The Fall Cabal. Bioengineered pandemic. Don't take the vaccine unless President Trump says it's okay.…,COVID-19 Part The Fall Cabal Bioengineered pandemic Do n't take vaccine unless President Trump says 's okay.…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,308,X16Son,,,ChristinePolon1,,
